utterance_id,audio_path,transcript,speaker_id,dataset,l1_group,task_type,location,has_timestamps,start_ms,end_ms,duration_str,utterance_index,processed_path,rejected,rejection_reason,hypothesis_raw,hypothesis,reference_norm,hypothesis_norm,rtf,aligned_from_session
Nebrija-INMIGRA_5_302_O_PAR0_44,data/Nebrija-INMIGRA/Cameroonian_audio/5_302_O.mp3,"Primer , un cocinero tiene que cocinar bien porque",5_302_O,Nebrija-INMIGRA,Cameroonian,,,True,250440.0,254320.0,,44,data/processed/Nebrija-INMIGRA/5_302_O_utt0044.wav,False,,primero un cocinero tiene que cocinar bien porque,primero un cocinero tiene que cocinar bien porque,primer un cocinero tiene que cocinar bien porque,primero un cocinero tiene que cocinar bien porque,0.9042052430675576,False
Nebrija-INMIGRA_5_326_O_PAR_46,data/Nebrija-INMIGRA/Chinese_audio/5_326_O.mp3,y ah en la biblioteca es muy silencio,5_326_O,Nebrija-INMIGRA,Chinese,Examen LETRA Oral Entrevista,Madrid,True,381612.0,391191.0,,46,data/processed/Nebrija-INMIGRA/5_326_O_utt0046.wav,False,,y la biblioteca es muy silenciosa,y la biblioteca es muy silenciosa,y ah en la biblioteca es muy silencio,y la biblioteca es muy silenciosa,0.2815295901796809,False
Nebrija-INMIGRA_5_052_O_PAR_80,data/Nebrija-INMIGRA/Filipino_audio/5_052_O.mp3,eh esto es para biblioteca pública,5_052_O,Nebrija-INMIGRA,Filipino,Examen LETRA Oral Entrevista,Madrid,True,393600.0,399422.0,,80,data/processed/Nebrija-INMIGRA/5_052_O_utt0080.wav,False,,Esto es para biblioteca pública.,esto es para biblioteca pública,eh esto es para biblioteca pública,esto es para biblioteca pública,0.2969402633192841,False
Nebrija-INMIGRA_5_225_O_PAR_53,data/Nebrija-INMIGRA/Moroccan_audio/5_225_O.mp3,eh un día,5_225_O,Nebrija-INMIGRA,Moroccan,Examen LETRA Oral Entrevista,Madrid,True,248271.0,249537.0,,53,data/processed/Nebrija-INMIGRA/5_225_O_utt0053.wav,False,,Un día.,un día,eh un día,un día,1.0343805874836431,False
Nebrija-INMIGRA_4_027_O_PAR_68,data/Nebrija-INMIGRA/Romanian_audio/4_027_O.mp3,no puede una persona no puede conducir si no tiene este permiso,4_027_O,Nebrija-INMIGRA,Romanian,Examen LETRA Oral Entrevista,Madrid,True,380734.0,387166.0,,68,data/processed/Nebrija-INMIGRA/4_027_O_utt0068.wav,False,,¿Una persona no puede conducir si no tiene este permiso?,una persona no puede conducir si no tiene este permiso,no puede una persona no puede conducir si no tiene este permiso,una persona no puede conducir si no tiene este permiso,0.2807503713584553,False
Nebrija-INMIGRA_5_172_O_PAR_92,data/Nebrija-INMIGRA/Senegalese_audio/5_172_O.mp3,porque hay que tener mucho cuidado,5_172_O,Nebrija-INMIGRA,Senegalese,Examen LETRA Oral Entrevista,Madrid,True,380799.0,384107.0,,92,data/processed/Nebrija-INMIGRA/5_172_O_utt0092.wav,False,,porque hay que tener mucho cuidado,porque hay que tener mucho cuidado,porque hay que tener mucho cuidado,porque hay que tener mucho cuidado,0.46571747302151034,False
Nebrija-INMIGRA_4_219_O_PAR_28,data/Nebrija-INMIGRA/Syrian_audio/4_219_O.mp3,"+, yo quiero estudiar médi médico , así",4_219_O,Nebrija-INMIGRA,Syrian,Examen LETRA Oral Entrevista,Madrid,True,105151.0,108844.0,,28,data/processed/Nebrija-INMIGRA/4_219_O_utt0028.wav,False,,Yo quiero estudiar médico.,yo quiero estudiar médico,yo quiero estudiar médi médico así,yo quiero estudiar médico,0.43324614950996143,False
Nebrija-INMIGRA_5_061_O_PAR_19,data/Nebrija-INMIGRA/Ukrainian_audio/5_061_O.mp3,sí,5_061_O,Nebrija-INMIGRA,Ukrainian,Examen LETRA Oral Entrevista,Madrid,True,62270.0,63028.0,,19,data/processed/Nebrija-INMIGRA/5_061_O_utt0019.wav,False,,"Sí, sí.",sí sí,sí,sí sí,1.5250474952547748,False
Nebrija-INMIGRA_4_027_O_PAR_10,data/Nebrija-INMIGRA/Romanian_audio/4_027_O.mp3,unintelligible no hay tiempo para nada,4_027_O,Nebrija-INMIGRA,Romanian,Examen LETRA Oral Entrevista,Madrid,True,52079.0,53634.0,,10,data/processed/Nebrija-INMIGRA/4_027_O_utt0010.wav,False,,No hay que mejorar nada.,no hay que mejorar nada,unintelligible no hay tiempo para nada,no hay que mejorar nada,1.2092099730565522,False
Nebrija-INMIGRA_5_169_O_PAR_79,data/Nebrija-INMIGRA/Chinese_audio/5_169_O.mp3,sí,5_169_O,Nebrija-INMIGRA,Chinese,Examen LETRA Oral Entrevista,Madrid,True,385606.0,386683.0,,79,data/processed/Nebrija-INMIGRA/5_169_O_utt0079.wav,False,,¿no?,no,sí,no,1.4679212395708943,False
Nebrija-WOCAE_AE_ES_19_STU_10,data/Nebrija-WOCAE/oral/2019_audio/AE_ES_19.mp3,los problemas de pos política respondí muy seriamente y no hubo ni ningún hueco,AE_ES_19,Nebrija-WOCAE,Chinese,,"Harbin, China",True,36631.0,42679.0,,10,data/processed/Nebrija-WOCAE/AE_ES_19_utt0010.wav,False,,Los problemas de política respondí muy seriamente y no hubo ningún hueco.,los problemas de política respondí muy seriamente y no hubo ningún hueco,los problemas de pos política respondí muy seriamente y no hubo ni ningún hueco,los problemas de política respondí muy seriamente y no hubo ningún hueco,0.337317862477366,False
Nebrija-WOCAE_AE_M_26_STU_4,data/Nebrija-WOCAE/oral/2018_audio/AE_M_26.mp3,tengo una petición,AE_M_26,Nebrija-WOCAE,Chinese,,"Harbin, China",True,7318.0,8719.0,,4,data/processed/Nebrija-WOCAE/AE_M_26_utt0004.wav,False,,Tengo una petición,tengo una petición,tengo una petición,tengo una petición,1.1011047424901297,False
Nebrija-WOCAE_AE_W_23_STU_11,data/Nebrija-WOCAE/oral/2018_audio/AE_W_23.mp3,"si ↫puedi↫pudieras cambiarla , contaría con un buen lugar dentro de mi corazón",AE_W_23,Nebrija-WOCAE,Chinese,,"Harbin, China",True,67782.0,75648.0,,11,data/processed/Nebrija-WOCAE/AE_W_23_utt0011.wav,False,,"Si pudieras confiar, contaría con un buen lugar dentro de mi corazón.",si pudieras confiar contaría con un buen lugar dentro de mi corazón,si puedipudieras cambiarla contaría con un buen lugar dentro de mi corazón,si pudieras confiar contaría con un buen lugar dentro de mi corazón,0.2701006103361752,False
Nebrija-WOCAE_AE_ES_11_STU_16,data/Nebrija-WOCAE/oral/2019_audio/AE_ES_11.mp3,atentamente,AE_ES_11,Nebrija-WOCAE,Chinese,,"Harbin, China",True,81999.0,82499.0,,16,data/processed/Nebrija-WOCAE/AE_ES_11_utt0016.wav,False,,adentramente.,adentramente,atentamente,adentramente,2.1652818237635074,False
Nebrija-WOCAE_AE_M_26_STU_10,data/Nebrija-WOCAE/oral/2018_audio/AE_M_26.mp3,o puedo intentarlo de nuevo,AE_M_26,Nebrija-WOCAE,Chinese,,"Harbin, China",True,44000.0,46342.0,,10,data/processed/Nebrija-WOCAE/AE_M_26_utt0010.wav,False,,Jóvenes de los Inventados de Nuevo,jóvenes de los inventados de nuevo,o puedo intentarlo de nuevo,jóvenes de los inventados de nuevo,1.016435607511481,False
Nebrija-WOCAE_AE_W_24_STU_4,data/Nebrija-WOCAE/oral/2018_audio/AE_W_24.mp3,ahora vamos a hablar de porqué,AE_W_24,Nebrija-WOCAE,Chinese,,"Harbin, China",True,15880.0,17781.0,,4,data/processed/Nebrija-WOCAE/AE_W_24_utt0004.wav,False,,Ahora vamos a hablar del porqué.,ahora vamos a hablar del porqué,ahora vamos a hablar de porqué,ahora vamos a hablar del porqué,0.893308439325653,False
Nebrija-WOCAE_AE_ES_19_STU_0,data/Nebrija-WOCAE/oral/2019_audio/AE_ES_19.mp3,querido profesor,AE_ES_19,Nebrija-WOCAE,Chinese,,"Harbin, China",True,1530.0,2450.0,,0,data/processed/Nebrija-WOCAE/AE_ES_19_utt0000.wav,False,,"Querido profesor,",querido profesor,querido profesor,querido profesor,1.5077481901780778,False
Nebrija-WOCAE_AE_ES_11_STU_13,data/Nebrija-WOCAE/oral/2019_audio/AE_ES_11.mp3,"ge(ne)ralmente tenemos al menos dos escritos , pero nuestro tiempo no es suficiente",AE_ES_11,Nebrija-WOCAE,Chinese,,"Harbin, China",True,59008.0,66019.0,,13,data/processed/Nebrija-WOCAE/AE_ES_11_utt0013.wav,False,,"generalmente. Tenemos al menos dos escritos, pero nuestro tiempo no es suficiente.",generalmente tenemos al menos dos escritos pero nuestro tiempo no es suficiente,generalmente tenemos al menos dos escritos pero nuestro tiempo no es suficiente,generalmente tenemos al menos dos escritos pero nuestro tiempo no es suficiente,0.29277889481999797,False
Nebrija-WOCAE_AE_W_24_STU_6,data/Nebrija-WOCAE/oral/2018_audio/AE_W_24.mp3,"no obstante , había intentado hacerlo muy bien con mis mayores esfuerzos",AE_W_24,Nebrija-WOCAE,Chinese,,"Harbin, China",True,27130.0,31616.0,,6,data/processed/Nebrija-WOCAE/AE_W_24_utt0006.wav,False,,"No obstante, había intentado hacerlo muy bien con mis mayores esfuerzos.",no obstante había intentado hacerlo muy bien con mis mayores esfuerzos,no obstante había intentado hacerlo muy bien con mis mayores esfuerzos,no obstante había intentado hacerlo muy bien con mis mayores esfuerzos,0.4341004145399983,False
Nebrija-WOCAE_AE_M_26_STU_11,data/Nebrija-WOCAE/oral/2018_audio/AE_M_26.mp3,necesito esta oportunidad,AE_M_26,Nebrija-WOCAE,Chinese,,"Harbin, China",True,46503.0,48045.0,,11,data/processed/Nebrija-WOCAE/AE_M_26_utt0011.wav,False,,Necesito esta oportunidad.,necesito esta oportunidad,necesito esta oportunidad,necesito esta oportunidad,1.0049745977244944,False
SPLLOC1_d53d54cog13_D54_49,data/SPLLOC1/Discussion_audio/d53d54cog13.mp3,no es solamente los video juegos hay películas eh,d53d54cog13_D54,SPLLOC1,English,Discussion task,BP,True,332180.0,337246.0,0:07:28,49,data/processed/SPLLOC1/d53d54cog13_D54_utt0049.wav,False,,no es solamente los videojuegos. Hay películas y...,no es solamente los videojuegos hay películas y,no es solamente los video juegos hay películas eh,no es solamente los videojuegos hay películas y,0.4311997687267581,False
SPLLOC1_l15mja9_L15_0,data/SPLLOC1/LochNess_audio/l15mja9.mp3,ehm un family@s eh de vacaciones ehm en Loch Loch Ness ehm ehm,l15mja9_L15,SPLLOC1,English,Loch Ness story telling task,H,True,8580.0,13448.0,00:03:15,0,data/processed/SPLLOC1/l15mja9_L15_utt0000.wav,False,,diva que se nos,diva que se nos,ehm un familys eh de vacaciones ehm en loch loch ness ehm ehm,diva que se nos,0.44103383804801577,False
SPLLOC1_l94ldo9n_L94_8,data/SPLLOC1/LochNess_audio/l94ldo9n.mp3,la madre y uno de los niños se van a la cuidad desde el coche,l94ldo9n_L94,SPLLOC1,English,Lochness Story Telling Task,Madrid,True,48414.0,52879.0,00:02:16,8,data/processed/SPLLOC1/l94ldo9n_L94_utt0008.wav,False,,la madre y uno de los niños se van a la ciudad. Desde el coche salimos.,la madre y uno de los niños se van a la ciudad desde el coche salimos,la madre y uno de los niños se van a la cuidad desde el coche,la madre y uno de los niños se van a la ciudad desde el coche salimos,0.48999411522059977,False
SPLLOC1_m29mpsun_M29_4,data/SPLLOC1/ModernTimes_audio/m29mpsun.mp3,se encuentra en la se choca en la esquina con un hombre,m29mpsun_M29,SPLLOC1,English,M,UoS,True,36715.0,39599.0,00:03:12,4,data/processed/SPLLOC1/m29mpsun_M29_utt0004.wav,False,,"pero se encuentra, se choca la esquina con un hombre.",pero se encuentra se choca la esquina con un hombre,se encuentra en la se choca en la esquina con un hombre,pero se encuentra se choca la esquina con un hombre,0.6941349324619633,False
SPLLOC1_p32mpsun_P32_0,data/SPLLOC1/PhotoTask_audio/p32mpsun.mp3,la primera foto vemos una playa paraí(unintelligible) paradisíaca,p32mpsun_P32,SPLLOC1,English,P,UoS,True,13640.0,16804.0,00:18:37,0,data/processed/SPLLOC1/p32mpsun_P32_utt0000.wav,False,,En la primera foto vemos una playa paradisiaca,en la primera foto vemos una playa paradisiaca,la primera foto vemos una playa paraíunintelligible paradisíaca,en la primera foto vemos una playa paradisiaca,0.5775279783452625,False
SPLLOC1_d86d87mpsu_D87_32,data/SPLLOC1/Discussion_audio/d86d87mpsu.mp3,cuesta mucho y,d86d87mpsu_D87,SPLLOC1,English,Pair Discussion Task,UoS,True,180678.0,181979.0,,32,data/processed/SPLLOC1/d86d87mpsu_D87_utt0032.wav,False,,Cuesta mucho.,cuesta mucho,cuesta mucho y,cuesta mucho,1.0782145534183651,False
SPLLOC1_d65d66mps13_D65_31,data/SPLLOC1/Discussion_audio/d65d66mps13.mp3,darse un momento,d65d66mps13_D65,SPLLOC1,English,Paired Discussion Task,BP,True,334176.0,335097.0,00:19:19,31,data/processed/SPLLOC1/d65d66mps13_D65_utt0031.wav,False,,Darse un momento.,darse un momento,darse un momento,darse un momento,1.4462393873854007,False
SPLLOC1_p57cog13_P57_56,data/SPLLOC1/PhotoTask_audio/p57cog13.mp3,y ehm le gusta mucho ehm entonces quizás Leeds es proba(ble) es un probabilidad,p57cog13_P57,SPLLOC1,English,Photo task,,True,569980.0,578511.0,00:10:28,56,data/processed/SPLLOC1/p57cog13_P57_utt0056.wav,False,,"y le gusta mucho. Entonces, quizás Liz es un probable.",y le gusta mucho entonces quizás liz es un probable,y ehm le gusta mucho ehm entonces quizás leeds es probable es un probabilidad,y le gusta mucho entonces quizás liz es un probable,0.2201824113928046,False
SPLLOC1_s10art9_S10_9,data/SPLLOC1/Picture_audio/s10art9.mp3,rom(pe) rompe su re(loj) su reloj y arregla su re(loj) rel(oj) ah reloj,s10art9_S10,SPLLOC1,English,Picture Sequence Task,K,True,116360.0,124166.0,00:05:32,9,data/processed/SPLLOC1/s10art9_S10_utt0009.wav,False,,Rompé su reloj y arregló su reloj.,rompé su reloj y arregló su reloj,rompe rompe su reloj su reloj y arregla su reloj reloj ah reloj,rompé su reloj y arregló su reloj,0.26015532210630327,False
SPLLOC1_s04art9_S04_30,data/SPLLOC1/Picture_audio/s04art9.mp3,el chico abrir los nueces y comer las nueces,s04art9_S04,SPLLOC1,English,Picture Sequence task,K,True,337970.0,343360.0,00:06:37,30,data/processed/SPLLOC1/s04art9_S04_utt0030.wav,False,,El chico abrió los nueces y comió la leche.,el chico abrió los nueces y comió la leche,el chico abrir los nueces y comer las nueces,el chico abrió los nueces y comió la leche,0.34842183654890546,False
SPLLOC1_s81mpsu_S81_12,data/SPLLOC1/Picture_audio/s81mpsu.mp3,la busca y después la la encuentra,s81mpsu_S81,SPLLOC1,English,Picture sequence task,UoS,True,111250.0,114354.0,0:06:17,12,data/processed/SPLLOC1/s81mpsu_S81_utt0012.wav,False,,la busca y después la encuentra.,la busca y después la encuentra,la busca y después la la encuentra,la busca y después la encuentra,0.5730642503062887,False
SPLLOC1_l70mpsu_L70_19,data/SPLLOC1/LochNess_audio/l70mpsu.mp3,mientras vitrinea@n ehm con en en el pueblo ehm la abuelita tiene tiene una muy buen idea eh y y,l70mpsu_L70,SPLLOC1,English,Story retelling based on a picture book about a family staying by Loch Ness.,UoS,True,98460.0,109076.0,,19,data/processed/SPLLOC1/l70mpsu_L70_utt0019.wav,False,,mientras vitrinea en el pueblo. La abuelita tiene una muy buena idea.,mientras vitrinea en el pueblo la abuelita tiene una muy buena idea,mientras vitrinean ehm con en en el pueblo ehm la abuelita tiene tiene una muy buen idea eh y y,mientras vitrinea en el pueblo la abuelita tiene una muy buena idea,0.20109168880493863,False
